timestamp_us,magX_uT,magY_uT,magZ_uT
1758143796,-26.321,-0.202,15.087
1758150796,-31.151,0.701,13.124
1758157796,-30.615,9.306,16.315
1758164796,-31.869,6.282,11.308
1758171796,-29.355,-1.771,11.102
1758178796,-29.846,6.546,14.057
1758185796,-24.823,3.478,12.753
1758192796,-25.097,3.639,11.238
1758199907,-24.612,4.256,7.938
1758206972,-34.613,3.872,18.703
1758214953,-31.924,4.337,15.626
1758224325,-32.054,0.248,14.659
1758232248,-30.219,2.639,9.299
1758240162,-35.814,0.926,20.773
1758247800,-25.392,4.518,11.233
1758254797,-29.932,2.927,9.798
1758261797,-31.068,9.257,6.209
1758268796,-32.865,4.59,19.935
1758275796,-25.143,9.027,14.217
1758282796,-29.4,2.446,14.093
1758289796,-30.384,3.945,10.552
1758296796,-27.866,4.101,9.25
1758303796,-31.113,0.435,10.346
1758310796,-30.654,7.081,19.372
1758317796,-34.163,-2.464,7.638
1758324796,-28.731,1.518,19.149
1758331796,-28.732,5.181,18.859
1758338796,-37.133,8.11,19.707
1758345796,-26.188,0.52,16.089
1758352796,-32.382,7.256,16.614
1758359796,-30.122,5.387,12.809
1758366796,-26.181,8.478,25.867
1758373796,-34.12,2.255,4.05
1758381796,-32.169,5.399,11.827
1758388796,-26.646,3.293,17.079
1758395796,-29.371,1.336,22.952
1758402796,-27.533,0.214,17.629
1758409796,-31.008,5.385,13.074
1758416796,-27.994,6.354,18.583
1758423796,-30.33,-1.396,17.938
1758430796,-29.86,6.536,15.069
1758437796,-27.266,0.927,19.64
1758444796,-31.783,6.97,15.85
1758451796,-31.814,-1.005,7.842
1758458796,-28.289,3.57,18.869
1758465796,-27.571,6.592,8.968
1758472796,-26.879,6.267,12.248
1758479796,-34.642,4.542,9.848
1758486797,-25.553,1.139,12.534
1758493796,-31.981,8.797,8.503
1758500796,-28.826,7.751,25.66
1758507796,-30.077,1.463,9.815
1758514796,-27.711,2.934,8.755
1758521796,-26.589,0.989,13.056
1758528796,-27.411,4.884,19.096
1758535796,-33.255,0.232,16.446
1758542796,-33.863,10.034,17.113
1758549796,-31.297,6.562,12.561
1758556796,-32.255,10.025,17.848
1758563796,-31.19,3.016,15.882
1758570797,-32.867,7.853,30.773
1758577796,-33.538,9.909,14.834
1758584796,-32.007,7.899,10.535
1758591796,-26.501,3.543,6.203
1758598796,-29.764,3.716,19.141
1758605796,-29.458,2.698,18.389
1758612796,-28.056,3.191,12.549
1758619796,-29.255,0.979,14.359
1758626796,-33.046,2.913,11.612
1758633796,-29.297,15.454,16.233
1758640796,-32.589,-0.259,21.751
1758647796,-27.754,2.025,12.051
1758654796,-30.768,4.907,17.121
1758661796,-34.076,1.197,22.768
1758668796,-33.898,1.219,20.49
1758675796,-32.246,4.318,17.654
1758682796,-33.893,8.067,8.537
1758689797,-29.147,-0.807,17.409
